,iso_code,gdp_per_capita,population,total_cases,new_cases,new_deaths,icu_patients,hosp_patients,new_tests,new_vaccinations,stringency_index,cases_per_capita
4612,AUT,45436.685999999994,9006400.0,353484.0,1592.0,50.0,421.0,2089.0,21246.0,1287.0,82.41,25.478946713288295
4613,AUT,45436.685999999994,9006400.0,355352.0,1868.0,128.0,411.0,2116.0,15563.0,1613.0,82.41,25.34501001823544
4614,AUT,45436.685999999994,9006400.0,357902.0,2550.0,90.0,395.0,2012.0,16085.0,1340.0,82.41,25.164430486557773
4615,AUT,45436.685999999994,9006400.0,360815.0,2913.0,73.0,396.0,1946.0,26789.0,8.0,82.41,24.961268239956766
4616,AUT,45436.685999999994,9006400.0,362911.0,2096.0,39.0,385.0,1858.0,20462.0,1.0,82.41,24.817103918040512
4619,AUT,45436.685999999994,9006400.0,367410.0,1642.0,33.0,368.0,1953.0,12601.0,107.0,82.41,24.513214120464877
4620,AUT,45436.685999999994,9006400.0,369721.0,2311.0,100.0,371.0,2033.0,15450.0,1508.0,82.41,24.359990371117682
4621,AUT,45436.685999999994,9006400.0,372190.0,2469.0,68.0,361.0,2022.0,22630.0,828.0,82.41,24.198393293747817
4622,AUT,45436.685999999994,9006400.0,374730.0,2540.0,43.0,373.0,1981.0,16752.0,3124.0,82.41,24.03437141408481
4623,AUT,45436.685999999994,9006400.0,376793.0,2063.0,73.0,371.0,2000.0,23605.0,12864.0,82.41,23.902779510235064
4624,AUT,45436.685999999994,9006400.0,379071.0,2278.0,46.0,369.0,1957.0,19780.0,4372.0,82.41,23.759137470289208
4625,AUT,45436.685999999994,9006400.0,380722.0,1651.0,36.0,372.0,1874.0,14175.0,2190.0,82.41,23.656106030121716
4626,AUT,45436.685999999994,9006400.0,382258.0,1536.0,24.0,379.0,1918.0,14089.0,5550.0,82.41,23.5610503900507
4627,AUT,45436.685999999994,9006400.0,383833.0,1575.0,72.0,378.0,1923.0,2945871.0,14063.0,82.41,23.464371223943747
4628,AUT,45436.685999999994,9006400.0,385750.0,1917.0,49.0,354.0,1825.0,124267.0,14709.0,82.41,23.347764095917046
4629,AUT,45436.685999999994,9006400.0,389260.0,3510.0,53.0,361.0,1725.0,390264.0,15773.0,82.41,23.13723475312131
4630,AUT,45436.685999999994,9006400.0,390788.0,1528.0,66.0,337.0,1705.0,79635.0,17394.0,82.41,23.046767045047442
4631,AUT,45436.685999999994,9006400.0,392511.0,1723.0,66.0,342.0,1668.0,79124.0,6594.0,82.41,22.94559897684396
4632,AUT,45436.685999999994,9006400.0,393778.0,1267.0,29.0,328.0,1635.0,52039.0,5555.0,82.41,22.87177038839143
4633,AUT,45436.685999999994,9006400.0,394939.0,1161.0,40.0,334.0,1673.0,106991.0,11192.0,82.41,22.804534371130732
4634,AUT,45436.685999999994,9006400.0,396425.0,1486.0,77.0,332.0,1729.0,180970.0,25318.0,82.41,22.719051522986693
4635,AUT,45436.685999999994,9006400.0,398096.0,1671.0,38.0,323.0,1683.0,610150.0,23079.0,82.41,22.623688758490413
4636,AUT,45436.685999999994,9006400.0,399798.0,1702.0,51.0,340.0,1606.0,46353.0,19273.0,82.41,22.52737632504415
4637,AUT,45436.685999999994,9006400.0,401886.0,2088.0,42.0,331.0,1586.0,58656.0,11504.0,82.41,22.410335269205696
4638,AUT,45436.685999999994,9006400.0,403512.0,1626.0,59.0,323.0,1525.0,89237.0,3032.0,82.41,22.32003013541109
4639,AUT,45436.685999999994,9006400.0,404714.0,1202.0,29.0,323.0,1518.0,51994.0,1227.0,82.41,22.253739677895997
4640,AUT,45436.685999999994,9006400.0,405723.0,1009.0,33.0,321.0,1548.0,67705.0,1456.0,82.41,22.198396442893305
4641,AUT,45436.685999999994,9006400.0,407140.0,1417.0,64.0,313.0,1583.0,103256.0,8353.0,82.41,22.12113769219433
4642,AUT,45436.685999999994,9006400.0,408781.0,1641.0,49.0,304.0,1526.0,91061.0,7774.0,82.41,22.032335162348545
4643,AUT,45436.685999999994,9006400.0,410230.0,1449.0,43.0,304.0,1478.0,92444.0,9420.0,82.41,21.95451332179509
4644,AUT,45436.685999999994,9006400.0,411730.0,1500.0,51.0,295.0,1428.0,71028.0,14708.0,82.41,21.87452942462293
4645,AUT,45436.685999999994,9006400.0,413208.0,1478.0,45.0,297.0,1385.0,125459.0,3623.0,82.41,21.796286615941607
4646,AUT,45436.685999999994,9006400.0,414398.0,1190.0,18.0,297.0,1387.0,69704.0,1346.0,82.41,21.73369562594414
4647,AUT,45436.685999999994,9006400.0,415522.0,1124.0,57.0,294.0,1433.0,126053.0,4372.0,82.41,21.67490529983972
4648,AUT,45436.685999999994,9006400.0,416763.0,1241.0,69.0,300.0,1429.0,81397.0,16559.0,82.41,21.61036368391628
4649,AUT,45436.685999999994,9006400.0,418283.0,1520.0,55.0,303.0,1383.0,181897.0,17059.0,82.41,21.53183371066957
4650,AUT,45436.685999999994,9006400.0,419801.0,1518.0,34.0,298.0,1342.0,108302.0,19144.0,82.41,21.453974621308667
4651,AUT,45436.685999999994,9006400.0,421189.0,1388.0,37.0,300.0,1304.0,87206.0,20058.0,82.41,21.38327449197391
4652,AUT,45436.685999999994,9006400.0,422522.0,1333.0,21.0,300.0,1289.0,159889.0,8828.0,82.41,21.315813141090878
4653,AUT,45436.685999999994,9006400.0,423839.0,1317.0,18.0,285.0,1275.0,212647.0,4818.0,82.41,21.249578259669356
4654,AUT,45436.685999999994,9006400.0,424896.0,1057.0,20.0,281.0,1299.0,128988.0,9418.0,74.07,21.196716372947733
4655,AUT,45436.685999999994,9006400.0,426093.0,1197.0,39.0,279.0,1318.0,310611.0,18514.0,74.07,21.13716958504364
4656,AUT,45436.685999999994,9006400.0,427562.0,1469.0,43.0,265.0,1262.0,221201.0,21105.0,74.07,21.064547363891084
4657,AUT,45436.685999999994,9006400.0,429139.0,1577.0,24.0,265.0,1212.0,231481.0,23443.0,74.07,20.98713936510082
4658,AUT,45436.685999999994,9006400.0,430870.0,1731.0,32.0,263.0,1151.0,203715.0,25845.0,79.63,20.902824517836006
4659,AUT,45436.685999999994,9006400.0,432303.0,1433.0,25.0,267.0,1062.0,214321.0,10048.0,79.63,20.83353573766548
4660,AUT,45436.685999999994,9006400.0,433487.0,1184.0,16.0,255.0,1056.0,139545.0,1889.0,79.63,20.776632286550694
4661,AUT,45436.685999999994,9006400.0,434712.0,1225.0,10.0,258.0,1104.0,157018.0,6969.0,74.07,20.71808461694179
4662,AUT,45436.685999999994,9006400.0,436139.0,1427.0,39.0,264.0,1089.0,291200.0,14127.0,74.07,20.650297267614224
4663,AUT,45436.685999999994,9006400.0,437874.0,1735.0,30.0,262.0,1069.0,206359.0,18868.0,74.07,20.568474035909873
4664,AUT,45436.685999999994,9006400.0,439841.0,1967.0,22.0,264.0,1027.0,274347.0,19066.0,74.07,20.476490368110294
4665,AUT,45436.685999999994,9006400.0,441659.0,1818.0,36.0,261.0,1030.0,200765.0,20818.0,74.07,20.39220303446777
4666,AUT,45436.685999999994,9006400.0,443536.0,1877.0,20.0,261.0,999.0,236088.0,12619.0,74.07,20.30590527037264
4667,AUT,45436.685999999994,9006400.0,445374.0,1838.0,18.0,254.0,1018.0,198975.0,5829.0,74.07,20.222105466416988
4668,AUT,45436.685999999994,9006400.0,446644.0,1270.0,11.0,252.0,1085.0,93176.0,6652.0,74.07,20.1646053680336
4669,AUT,45436.685999999994,9006400.0,448371.0,1727.0,37.0,273.0,1077.0,258396.0,14335.0,74.07,20.086936933923024
4670,AUT,45436.685999999994,9006400.0,450376.0,2005.0,36.0,255.0,1064.0,261319.0,19028.0,74.07,19.997513188979873
4671,AUT,45436.685999999994,9006400.0,452767.0,2391.0,23.0,248.0,1041.0,268901.0,19163.0,74.07,19.891909083480023
4672,AUT,45436.685999999994,9006400.0,454860.0,2093.0,22.0,260.0,1018.0,223250.0,27602.0,74.07,19.800378138328277
4673,AUT,45436.685999999994,9006400.0,457317.0,2457.0,23.0,260.0,988.0,318941.0,23898.0,74.07,19.693997817706318
4674,AUT,45436.685999999994,9006400.0,459440.0,2123.0,23.0,283.0,1022.0,156014.0,10051.0,74.07,19.60299495037437
4675,AUT,45436.685999999994,9006400.0,460849.0,1409.0,13.0,296.0,1073.0,95564.0,8348.0,74.07,19.54306074223878
4676,AUT,45436.685999999994,9006400.0,462769.0,1920.0,31.0,301.0,1124.0,354794.0,23650.0,74.07,19.461977790214988
4677,AUT,45436.685999999994,9006400.0,465322.0,2553.0,20.0,313.0,1097.0,244731.0,26058.0,74.07,19.355199195395876
4678,AUT,45436.685999999994,9006400.0,467646.0,2324.0,27.0,302.0,1142.0,261250.0,25788.0,74.07,19.259012158769668
4679,AUT,45436.685999999994,9006400.0,470314.0,2668.0,17.0,325.0,1114.0,259495.0,33925.0,74.07,19.149759522361656
4680,AUT,45436.685999999994,9006400.0,472871.0,2557.0,25.0,316.0,1138.0,250673.0,27018.0,74.07,19.046209219850656
4681,AUT,45436.685999999994,9006400.0,475070.0,2199.0,19.0,317.0,1155.0,158844.0,11669.0,74.07,18.958048287620773
7253,BEL,42658.575999999994,11589616.0,641411.0,1677.0,127.0,498.0,2417.0,41408.0,1.0,60.19,18.068938636849072
7254,BEL,42658.575999999994,11589616.0,644242.0,2831.0,80.0,496.0,2333.0,32677.0,478.0,60.19,17.98953809282847
7255,BEL,42658.575999999994,11589616.0,646496.0,2254.0,87.0,494.0,2187.0,30509.0,9.0,60.19,17.92681779933673
7256,BEL,42658.575999999994,11589616.0,648289.0,1793.0,53.0,489.0,2081.0,11933.0,8.0,60.19,17.87723684961491
7260,BEL,42658.575999999994,11589616.0,652735.0,1848.0,77.0,430.0,2130.0,60064.0,1586.0,60.19,17.755468911579737
7261,BEL,42658.575999999994,11589616.0,655732.0,2997.0,56.0,404.0,2076.0,55217.0,3873.0,60.19,17.67431816656805
7262,BEL,42658.575999999994,11589616.0,658655.0,2923.0,53.0,381.0,2018.0,44355.0,8145.0,60.19,17.59588251816201
7263,BEL,42658.575999999994,11589616.0,660703.0,2048.0,56.0,377.0,1996.0,46443.0,9174.0,60.19,17.541340057484224
7264,BEL,42658.575999999994,11589616.0,662694.0,1991.0,46.0,379.0,1927.0,38227.0,3203.0,60.19,17.488638798600864
7265,BEL,42658.575999999994,11589616.0,664263.0,1569.0,40.0,371.0,1955.0,22918.0,398.0,60.19,17.447330349575395
7266,BEL,42658.575999999994,11589616.0,665223.0,960.0,44.0,378.0,2020.0,44039.0,5576.0,60.19,17.422151669440172
7267,BEL,42658.575999999994,11589616.0,667322.0,2099.0,72.0,356.0,1966.0,67138.0,15533.0,60.19,17.367351893089094
7268,BEL,42658.575999999994,11589616.0,670249.0,2927.0,56.0,360.0,1943.0,56969.0,21253.0,60.19,17.291508081325
7269,BEL,42658.575999999994,11589616.0,672886.0,2637.0,44.0,346.0,1915.0,43318.0,23083.0,60.19,17.223743695068706
7270,BEL,42658.575999999994,11589616.0,675089.0,2203.0,58.0,345.0,1883.0,43992.0,23133.0,60.19,17.167537909816335
7271,BEL,42658.575999999994,11589616.0,677209.0,2120.0,44.0,352.0,1828.0,33946.0,5132.0,60.19,17.113795002724416
7272,BEL,42658.575999999994,11589616.0,678839.0,1630.0,39.0,367.0,1892.0,16770.0,3285.0,60.19,17.072702069268264
7273,BEL,42658.575999999994,11589616.0,679771.0,932.0,37.0,369.0,1974.0,37506.0,10984.0,60.19,17.049294541838353
7274,BEL,42658.575999999994,11589616.0,681250.0,1479.0,82.0,361.0,1960.0,63472.0,19220.0,60.19,17.012280366972476
7275,BEL,42658.575999999994,11589616.0,684256.0,3006.0,18.0,337.0,1938.0,53464.0,21066.0,60.19,16.937543843239958
7276,BEL,42658.575999999994,11589616.0,686827.0,2571.0,48.0,338.0,1941.0,45566.0,29974.0,60.19,16.874141523265685
7277,BEL,42658.575999999994,11589616.0,689271.0,2444.0,55.0,338.0,1923.0,50760.0,29375.0,60.19,16.814309611168902
7278,BEL,42658.575999999994,11589616.0,691854.0,2583.0,51.0,327.0,1888.0,38442.0,8228.0,60.19,16.75153428324473
7279,BEL,42658.575999999994,11589616.0,693666.0,1812.0,53.0,322.0,1923.0,21688.0,1876.0,60.19,16.707775788347707
7280,BEL,42658.575999999994,11589616.0,694858.0,1192.0,35.0,325.0,1954.0,44276.0,11239.0,60.19,16.679114293855722
7281,BEL,42658.575999999994,11589616.0,696642.0,1784.0,65.0,322.0,1928.0,65077.0,12307.0,60.19,16.636401480243798
7282,BEL,42658.575999999994,11589616.0,699662.0,3020.0,54.0,313.0,1850.0,62221.0,16267.0,60.19,16.564592617578203
7283,BEL,42658.575999999994,11589616.0,702437.0,2775.0,49.0,323.0,1819.0,55853.0,22494.0,60.19,16.499153660755344
7284,BEL,42658.575999999994,11589616.0,705120.0,2683.0,36.0,315.0,1810.0,56281.0,20125.0,60.19,16.43637395053324
7285,BEL,42658.575999999994,11589616.0,707837.0,2717.0,48.0,315.0,1760.0,47101.0,4456.0,60.19,16.373283679717222
7286,BEL,42658.575999999994,11589616.0,710153.0,2316.0,26.0,315.0,1788.0,22130.0,900.0,60.19,16.31988599639796
7287,BEL,42658.575999999994,11589616.0,711417.0,1264.0,32.0,325.0,1852.0,45820.0,7647.0,60.19,16.290889871903538
7288,BEL,42658.575999999994,11589616.0,713271.0,1854.0,49.0,311.0,1794.0,68279.0,23393.0,60.19,16.248545083145117
7289,BEL,42658.575999999994,11589616.0,716395.0,3124.0,43.0,310.0,1785.0,60705.0,29700.0,60.19,16.177689682367966
7290,BEL,42658.575999999994,11589616.0,718847.0,2452.0,44.0,306.0,1751.0,54089.0,32912.0,60.19,16.122507292928816
7291,BEL,42658.575999999994,11589616.0,721432.0,2585.0,35.0,304.0,1737.0,57084.0,29841.0,60.19,16.064737910156467
7292,BEL,42658.575999999994,11589616.0,723870.0,2438.0,57.0,292.0,1650.0,42015.0,6356.0,60.19,16.010631743268817
7293,BEL,42658.575999999994,11589616.0,725610.0,1740.0,37.0,300.0,1678.0,19066.0,3118.0,60.19,15.97223853033999
7294,BEL,42658.575999999994,11589616.0,726483.0,873.0,34.0,302.0,1698.0,44898.0,9975.0,60.19,15.953045012753224
7295,BEL,42658.575999999994,11589616.0,728334.0,1851.0,49.0,308.0,1674.0,60755.0,27373.0,60.19,15.912501681920658
7296,BEL,42658.575999999994,11589616.0,730951.0,2617.0,40.0,303.0,1652.0,49926.0,24816.0,60.19,15.85553067168661
7297,BEL,42658.575999999994,11589616.0,733100.0,2149.0,39.0,294.0,1642.0,46287.0,35343.0,60.19,15.809051971081708
7298,BEL,42658.575999999994,11589616.0,735220.0,2120.0,48.0,295.0,1634.0,46455.0,33780.0,60.19,15.763466717445118
7299,BEL,42658.575999999994,11589616.0,737115.0,1895.0,35.0,298.0,1567.0,34158.0,8473.0,60.19,15.722941467749266
7300,BEL,42658.575999999994,11589616.0,738631.0,1516.0,28.0,307.0,1598.0,15970.0,1917.0,60.19,15.690670984564688
7301,BEL,42658.575999999994,11589616.0,739488.0,857.0,40.0,319.0,1639.0,38662.0,13388.0,60.19,15.67248690986196
7302,BEL,42658.575999999994,11589616.0,741205.0,1717.0,48.0,311.0,1600.0,49433.0,14046.0,60.19,15.63618162316768
7303,BEL,42658.575999999994,11589616.0,743882.0,2677.0,43.0,315.0,1610.0,43164.0,19481.0,60.19,15.579911867742464
7304,BEL,42658.575999999994,11589616.0,746302.0,2420.0,28.0,314.0,1588.0,40479.0,26634.0,60.19,15.529391586783902
7305,BEL,42658.575999999994,11589616.0,749739.0,3437.0,38.0,314.0,1607.0,41995.0,29979.0,60.19,15.458200787207282
7306,BEL,42658.575999999994,11589616.0,752379.0,2640.0,28.0,315.0,1567.0,33873.0,5795.0,60.19,15.403959972301195
7307,BEL,42658.575999999994,11589616.0,754473.0,2094.0,16.0,329.0,1619.0,17000.0,2136.0,60.19,15.361207094223385
7308,BEL,42658.575999999994,11589616.0,755594.0,1121.0,20.0,348.0,1721.0,40375.0,12415.0,60.19,15.338417192301685
7309,BEL,42658.575999999994,11589616.0,757696.0,2102.0,33.0,353.0,1711.0,54887.0,19519.0,60.19,15.295865360250021
